Airline|Flight No.|Departure|Duration|Arrival|Base Fare|Tax 1|Tax 2
28-1405|AW-1659|AW-5946|AW-1659|OM-0906|22-851|₹4,299|₹32,840
IndiGo|6E-5295|22:30|1h 50m|00:20|₹4,299|₹375|58-5742
IndiGo|6E-6283|23:30|1h 50m|01:20|₹4,299|₹375|03-4930
IndiGo|6E-5011|11:25|1h 50m|13:15|₹7,379|₹516|06-488
IndiGo|6E-5051|10:10|1h 50m|12:00|₹10,949|₹766|06-435
Air India|AI-2811|00:10|1h 50m|02:00|₹11,389|₹797|09-4438
Air India|AI-2858|02:15|2h 10m|04:25|₹11,389|₹797|83-9903
Air India|AI-2846|08:25|2h 5m|10:30|₹23,965|44-4561|44-4561
